Word,Condition,Audio
egotistic,RLLC,egotistic_Rocko.wav
disinherit,RLLC,disinherit_Flo.wav
scepticism,RLLC,scepticism_Rocko.wav
sourness,RLLC,sourness_Flo.wav
tattooist,RLLC,tattooist_Rocko.wav
vengefully,RLLC,vengefully_Flo.wav
infertile,RLLC,infertile_Rocko.wav
adaptable,RLLC,adaptable_Flo.wav
hieroglyph,RLLS,hieroglyph_Rocko.wav
etiquette,RLLS,etiquette_Flo.wav
gargoyle,RLLS,gargoyle_Rocko.wav
chameleon,RLLS,chameleon_Flo.wav
fumigate,RLLS,fumigate_Rocko.wav
blaspheme,RLLS,blaspheme_Flo.wav
scrabble,RLLS,scrabble_Rocko.wav
shenanigan,RLLS,shenanigan_Flo.wav
sows,RSLC,sows_Rocko.wav
shears,RSLC,shears_Flo.wav
pods,RSLC,pods_Rocko.wav
unzip,RSLC,unzip_Flo.wav
combs,RSLC,combs_Rocko.wav
mixer,RSLC,mixer_Flo.wav
mended,RSLC,mended_Rocko.wav
orally,RSLC,orally_Flo.wav
strong,RSHS,strong_Rocko.wav
large,RSHS,large_Flo.wav
phone,RSHS,phone_Rocko.wav
iron,RSHS,iron_Flo.wav
guitar,RSHS,guitar_Rocko.wav
tank,RSHS,tank_Flo.wav
dare,RSHS,dare_Rocko.wav
radio,RSHS,radio_Flo.wav
character,RLHS,character_Rocko.wav
establish,RLHS,establish_Flo.wav
calendar,RLHS,calendar_Rocko.wav
phenomenon,RLHS,phenomenon_Flo.wav
straight,RLHS,straight_Rocko.wav
architect,RLHS,architect_Flo.wav
gorgeous,RLHS,gorgeous_Rocko.wav
shoulder,RLHS,shoulder_Flo.wav
rake,RSLS,rake_Rocko.wav
trifle,RSLS,trifle_Flo.wav
lore,RSLS,lore_Rocko.wav
mingle,RSLS,mingle_Flo.wav
heft,RSLS,heft_Rocko.wav
ramble,RSLS,ramble_Flo.wav
balk,RSLS,balk_Rocko.wav
acorn,RSLS,acorn_Flo.wav
criminals,RLHC,criminals_Rocko.wav
beautiful,RLHC,beautiful_Flo.wav
impossible,RLHC,impossible_Rocko.wav
disappear,RLHC,disappear_Flo.wav
disclosure,RLHC,disclosure_Rocko.wav
clinical,RLHC,clinical_Flo.wav
pictures,RLHC,pictures_Rocko.wav
receiving,RLHC,receiving_Flo.wav
stars,RSHC,stars_Rocko.wav
across,RSHC,across_Flo.wav
unit,RSHC,unit_Rocko.wav
writes,RSHC,writes_Flo.wav
deaths,RSHC,deaths_Rocko.wav
actor,RSHC,actor_Flo.wav
hearts,RSHC,hearts_Rocko.wav
user,RSHC,user_Flo.wav
alassfully,PLC,alassfully_Rocko.wav
procreach,PLC,procreach_Flo.wav
sprindly,PLC,sprindly_Rocko.wav
rederlity,PLC,rederlity_Flo.wav
phounching,PLC,phounching_Rocko.wav
distfully,PLC,distfully_Flo.wav
immerlize,PLC,immerlize_Rocko.wav
impolder,PLC,impolder_Flo.wav
tescootous,PLS,tescootous_Rocko.wav
conflite,PLS,conflite_Flo.wav
garadign,PLS,garadign_Rocko.wav
insterday,PLS,insterday_Flo.wav
freasite,PLS,freasite_Rocko.wav
currease,PLS,currease_Flo.wav
boomelege,PLS,boomelege_Rocko.wav
thildhoust,PLS,thildhoust_Flo.wav
puivon,PSS,puivon_Rocko.wav
wrivol,PSS,wrivol_Flo.wav
lirce,PSS,lirce_Rocko.wav
drall,PSS,drall_Flo.wav
hyma,PSS,hyma_Rocko.wav
foab,PSS,foab_Flo.wav
rearce,PSS,rearce_Rocko.wav
daip,PSS,daip_Flo.wav
lauly,PSC,lauly_Rocko.wav
rewn,PSC,rewn_Flo.wav
plars,PSC,plars_Rocko.wav
juns,PSC,juns_Flo.wav
encask,PSC,encask_Rocko.wav
entew,PSC,entew_Flo.wav
counds,PSC,counds_Rocko.wav
onts,PSC,onts_Flo.wav
